Percentile,Ranged Taxable Income,Sex,Number of individuals 
1,"$21,907 or less",Female,56151
1,"$21,907 or less",Male,54535
2,"$21,908 to $22,782",Female,62343
2,"$21,908 to $22,782",Male,48259
3,"$22,783 to $23,617",Female,62206
3,"$22,783 to $23,617",Male,48422
4,"$23,618 to $24,442",Female,61614
4,"$23,618 to $24,442",Male,48957
5,"$24,443 to $25,283",Female,62807
5,"$24,443 to $25,283",Male,47812
6,"$25,284 to $26,138",Female,63281
6,"$25,284 to $26,138",Male,47305
7,"$26,139 to $27,004",Female,63819
7,"$26,139 to $27,004",Male,46861
8,"$27,005 to $27,876",Female,63850
8,"$27,005 to $27,876",Male,46734
9,"$27,877 to $28,754",Female,63964
9,"$27,877 to $28,754",Male,46713
10,"$28,755 to $29,630",Female,64141
10,"$28,755 to $29,630",Male,46455
11,"$29,631 to $30,452",Female,63500
11,"$29,631 to $30,452",Male,47163
12,"$30,453 to $31,283",Female,63254
12,"$30,453 to $31,283",Male,47306
13,"$31,284 to $32,117",Female,63566
13,"$31,284 to $32,117",Male,47016
14,"$32,118 to $32,951",Female,64107
14,"$32,118 to $32,951",Male,46542
15,"$32,952 to $33,741",Female,64882
15,"$32,952 to $33,741",Male,45654
16,"$33,742 to $34,517",Female,65075
16,"$33,742 to $34,517",Male,45585
17,"$34,518 to $35,273",Female,64744
17,"$34,518 to $35,273",Male,45915
18,"$35,274 to $36,021",Female,64841
18,"$35,274 to $36,021",Male,45734
19,"$36,022 to $36,720",Female,64475
19,"$36,022 to $36,720",Male,46230
20,"$36,721 to $37,330",Female,63100
20,"$36,721 to $37,330",Male,47434
21,"$37,331 to $38,051",Female,64064
21,"$37,331 to $38,051",Male,46504
22,"$38,052 to $38,790",Female,64262
22,"$38,052 to $38,790",Male,46326
23,"$38,791 to $39,536",Female,64386
23,"$38,791 to $39,536",Male,46358
24,"$39,537 to $40,266",Female,63306
24,"$39,537 to $40,266",Male,47226
25,"$40,267 to $41,016",Female,63476
25,"$40,267 to $41,016",Male,47168
26,"$41,017 to $41,758",Female,63298
26,"$41,017 to $41,758",Male,47309
27,"$41,759 to $42,505",Female,63169
27,"$41,759 to $42,505",Male,47517
28,"$42,506 to $43,250",Female,62637
28,"$42,506 to $43,250",Male,47865
29,"$43,251 to $43,995",Female,62443
29,"$43,251 to $43,995",Male,48290
30,"$43,996 to $44,733",Female,61717
30,"$43,996 to $44,733",Male,48812
31,"$44,734 to $45,465",Female,61441
31,"$44,734 to $45,465",Male,49150
32,"$45,466 to $46,205",Female,61363
32,"$45,466 to $46,205",Male,49253
33,"$46,206 to $46,947",Female,60905
33,"$46,206 to $46,947",Male,49772
34,"$46,948 to $47,690",Female,60525
34,"$46,948 to $47,690",Male,50069
35,"$47,691 to $48,416",Female,60204
35,"$47,691 to $48,416",Male,50459
36,"$48,417 to $49,150",Female,59510
