"language_code","language_name","language_synonym","thesaurus_heading_language","approximate_latitude_of_language_variety","approximate_longitude_of_language_variety","uri"
"A1","Nyaki Nyaki / Njaki Njaki","Nyungar|Nyaki Nyaki|Nyagi Nyagi|Eastward tribe|Kaikan|Kar Kar|Karkar|Kikkar|Kilkar|Kokan|Kokar|Njagi|Njagi njagi|Njagiman|Njakinjaki|Nyakinyaki|Punuatch|Punwatch|Njagi Njagi","Nyaki Nyaki / Njaki Njaki language A1","-32.390945191928","118.755082726490","https://collection.aiatsis.gov.au/austlang/language/a1"
"A10","Ngurlu","Wangkathaa|Maduwongga|Waljen|Wanggaji|Wangkayi|Pindini|Jaa|Jata|Kuru|Kurutjara|Nanu|Nata|Nguludjara|Ngulutjara|Njata","Ngurlu language A10","","","https://collection.aiatsis.gov.au/austlang/language/a10"
"A100","Mardo","Mardudjara","","","","https://collection.aiatsis.gov.au/austlang/language/a100"
"A101","Naaguja","Nowkadja","","-28.135541101863","114.764471218930","https://collection.aiatsis.gov.au/austlang/language/a101"
"A102","Pindiini","Wangkatha|Bindinini|Pindini|Pintiini|Wangkathaa|Maduwongga|Ngurlu|Waljen|Wanggaji|Wangkayi|Bindunda|Pini|Wangaga|Wanggada|Wonga|Wongai i|Wongaidya|Wongaii|Wonggai|Wonggaii|Wongi|Wonkai|Won gaii","","-29.465956641058","127.766261148490","https://collection.aiatsis.gov.au/austlang/language/a102"
"A103","Wangkatja","Wangkatha|Wangkayi","","-29.865930280067","122.698712034350","https://collection.aiatsis.gov.au/austlang/language/a103"
"A104","Pijikala","","Pijikala language A104","","","https://collection.aiatsis.gov.au/austlang/language/a104"
"A105","Nangu","","Nangu language A105","","","https://collection.aiatsis.gov.au/austlang/language/a105"
"A106","Najanaja","","Najanaja language A106","","","https://collection.aiatsis.gov.au/austlang/language/a106"
"A107","Nawurtu","","Nawurtu language A107","","","https://collection.aiatsis.gov.au/austlang/language/a107"
"A108","Nankilakuthu","","Nankilakuthu language A108","","","https://collection.aiatsis.gov.au/austlang/language/a108"
"A109","Martuyitha","","Martuyitha language A109","","","https://collection.aiatsis.gov.au/austlang/language/a109"
"A11","Waljen","Wangkathaa|Maduwongga|Ngurlu|Wanggaji|Wangkayi|Pindini|Koara|Waljwan|Walyen|Waula|wa","Waljen language A11","-29.231153995635","122.722974525830","https://collection.aiatsis.gov.au/austlang/language/a11"
"A110","Marlba","","Marlba language A110","","","https://collection.aiatsis.gov.au/austlang/language/a110"
"A111","Windaga","","","","","https://collection.aiatsis.gov.au/austlang/language/a111"
"A112","Ngoonooru","","Ngoonooru language A112","","","https://collection.aiatsis.gov.au/austlang/language/a112"
"A113","Byro Wajarri","","Nhugarn language A71","","","https://collection.aiatsis.gov.au/austlang/language/a113"
"A114","Mileura Wajarri","","Ngunuru language A112","","","https://collection.aiatsis.gov.au/austlang/language/a114"
"A115","Nharnu","","Nharnu language A115","","","https://collection.aiatsis.gov.au/austlang/language/a115"
"A116","Nyiyaparli Padupadu","","Nyiyaparli Padupadu language A116","","","https://collection.aiatsis.gov.au/austlang/language/a116"
"A117","Banyjima Padupadu","","Banyjima Padupadu A117","","","https://collection.aiatsis.gov.au/austlang/language/a117"
"A118","Ngarrka","","Ngarrka language A118","","","https://collection.aiatsis.gov.au/austlang/language/a118"
"A119","Kurdun","","Kurdun language A119","","","https://collection.aiatsis.gov.au/austlang/language/a119"
"A12","Wangkatha","Wangatja|dialect of The Western Desert language|Wangkathaa|Maduwongga|Ngurlu|Waljen|Wanggaji|Wangkayi|Pindini|Bindinini|Bindunda|Pindiini|Pini|Wangaga|Wanggada|Wonga|Wongai i|Wongaidya|Wongaii|Wonggai|Wonggaii|Wongi|Wonkai|Wanggaji/Wanggayi|Wanggayi","Wangkatha language A12","-29.778252421771","121.918072706570","https://collection.aiatsis.gov.au/austlang/language/a12"
"A120","Yirrakalan","","Yirrakalan language A120","","","https://collection.aiatsis.gov.au/austlang/language/a120"
"A121","Ngardi","","Ngardi language A121","","","https://collection.aiatsis.gov.au/austlang/language/a121"
"A122","Kakutu / Kakurtu","","Kakutu / Kakurtu language A122","","","https://collection.aiatsis.gov.au/austlang/language/a122"
"A123","Ngulatu / Ngulartu","","Ngulatu / Ngulartu language A123","","","https://collection.aiatsis.gov.au/austlang/language/a123"
"A13","Widi","Badimaya|Widimaya|Barimaia|Cheangwa|Jaburu|Minango|Minangu|Nanakardi|Nanakari|Nanakati|Nhanhakarti|Opee|Weeree|Wiri|Wirti|Wirtimaya|Witimay|Wirtimay|Wirdimay","Widi language A13","-28.826757573399","116.721526998660","https://collection.aiatsis.gov.au/austlang/language/a13"
"A14","Badimaya","Parti maya|Badimaia|Badimara|Barimaia|Nanakari|Patimara|Patimay|Baadeemaia|Badimala|Bardimaia|Bidungu|Padimaia|Padinaia|Parimaia|Waadal|Wallawe|WardalBadi maia|Yamadgee|Yamaji|Patimaya|Bardimaya|Badimay|Yamadyis|Wardal|Badimia","Badimaya language A14","-28.593308271869","117.185324873620","https://collection.aiatsis.gov.au/austlang/language/a14"
"A16","Kuwarra","Goara|Koara|Go:ara|Guwara|Kagara|Kogara|Konindja|Konindjara|Waula","Kuwarra language A16","-28.182031703639","120.345364466210","https://collection.aiatsis.gov.au/austlang/language/a16"
"A17","Nangadadjara / Nyanganyatjara","Ngaanyatjarra|Murunitja|Nangatadjara|Pindini|Tjeraridjal|Wanggatha|Alindjara|Ditu|Dituwonga|Nangandjara|Nangata|Nangatatjara|Nanggaranggu|Nanggatha|Ngaanyatjara|Ngalapita|Ngana|Nganandjara|Njingipalaru|Wangata|Njanganjadjara|Nyanganyadjara|Nagatatjara|Ngalap ita|Nangadadjara ","Nangadadjara / Nyanganyatjara language A17","-28.683701655968","124.803446338620","https://collection.aiatsis.gov.au/austlang/language/a17"
"A18","Muliara","Majanna|Maldjana|Malleyearra|Meloria|Muliarra|Wadjari|Baialdju|Cheangwa|Iirrawad ari|Irawadjari|Jamadji|Kurduwonga|Kurduwongga|Maliara|Miliara|Miliarra|Pidong|Wadarri|Wadgaree|Wadjeri|Waian wonga|Wajari|Wajeri|Wajjari|Wardal|Yajeri|Yamaidyi","Muliara language A18","","","https://collection.aiatsis.gov.au/austlang/language/a18"
"A19","Wardal","Wawula|Madoitja|Wirdinja|Wajari|Wardalj|Tjitijamba|Tjitjijamba|Waula","Wardal language A19","","","https://collection.aiatsis.gov.au/austlang/language/a19"
"A2","Kalarku","Kalaaku|Kalarko|Ngatjunmay|Galagu/Kalako|Malpa|Galagu|Kalako|Ngadjunmaia|Marlba|Beelia|Beeloo|Derbal|Gala:gu|Ilakuri wongi|Juadjag|Juadjek|Juadjuk|Kalaako|Karakata|Karrakatta|Malba|Minal njunga|Minalnjunga|Minnal Yungar|Mooro|Murram|Njindango|Swan River Tribe|Takalako|Wadjug|Wadjuk|Wadjup|Wajuk|Whadjuk|Whajook|Witja:ri|Witjari|Yooadda|Yooard|Yoongar|Yuard|Yuatjek|Yungar|Yungur|Galaagu|West Mirniny","Kalarku language A2","-32.110217754506","121.487575540800","https://collection.aiatsis.gov.au/austlang/language/a2"
"A20","Wilyara","Wiijara","Wilyara language A20","-26.799611608385","120.415688130650","https://collection.aiatsis.gov.au/austlang/language/a20"
"A21","Gula","Go:la","Gula language A21","-27.990460248250","122.702008342550","https://collection.aiatsis.gov.au/austlang/language/a21"
"A22","Marawa","","Marawa language A22","-28.771514280889","125.346387893540","https://collection.aiatsis.gov.au/austlang/language/a22"
"A23","Mangula","Mandjindja|Kalgonei|Kalgoneidjara|Mandjindjara|Mandjindji|Mandjindjiwongga|Mandshindshi|Man gula|Mangundjara|Manjinjiwonga|Mantjila|Nanggar angku","Mangula language A23","","","https://collection.aiatsis.gov.au/austlang/language/a23"
