name,type,location,lat,long,artist,owner,source,url,year,form,access,notes
Millicent Fawcett,woman,"Parliament Square, Westminster, London",51.5007,-0.1272,Gillian Wearing,GLA / Parliament Square,PSSA; Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Millicent_Fawcett,2018,statue,public,
"Emmeline Pankhurst (Rise up, Women)",woman,"St Peter's Square, Manchester",53.4781,-2.2434,Hazel Reeves,Manchester City Council,PSSA; Wikipedia,"https://en.wikipedia.org/wiki/Rise_up,_Women",2018,statue,public,
Mary Seacole,woman,"St Thomas' Hospital Gardens, London",51.5002,-0.1189,Martin Jennings,Guy's and St Thomas' NHS,PSSA; Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Mary_Seacole,2016,statue,public,
Mary Anning,woman,"Gun Cliff Walk, Lyme Regis, Dorset",50.7256,-2.9348,Denise Dutton,Mary Anning Rocks,PSSA,https://pssauk.org/women/,2022,statue,public,
Jane Austen (Chawton),woman,"St Nicholas Church, Chawton, Hampshire",51.1333,-0.9833,Adam Roud,Local parish,PSSA,https://pssauk.org/women/,2018,statue,public,
Jane Austen (Basingstoke),woman,"Market Place, Basingstoke, Hampshire",51.2622,-1.0872,Adam Roud,Basingstoke,PSSA,https://pssauk.org/women/,2017,statue,public,
Jane Austen (Winchester),woman,"Cathedral Close, Winchester",51.0607,-1.3132,Martin Jennings,Winchester Cathedral,PSSA,https://pssauk.org/women/,2025,statue,public,
Nancy Astor,woman,"Plymouth Hoe, Plymouth",50.3653,-4.1428,Hayley Gibbs,Plymouth City Council,PSSA,https://pssauk.org/women/,2019,statue,public,
Cilla Black,woman,"Mathew Street, Liverpool",53.4056,-2.9883,Andy Edwards / Emma Rodgers,Liverpool,PSSA,https://pssauk.org/women/,2017,statue,public,
Floella Benjamin,woman,"University of Exeter, Streatham Campus",50.737,-3.5351,Luke Shepherd,University of Exeter,PSSA,https://pssauk.org/women/,,bust,campus,
Margaret Beckett,woman,"University of Derby, Kedleston Rd",52.9378,-1.4903,Shenda Amery,University of Derby,PSSA,https://pssauk.org/women/,,bust,campus,
Aphra Behn,woman,"The Beaney, Canterbury",51.2794,1.0778,Christine Charlesworth,Canterbury,PSSA,https://pssauk.org/women/,,statue,public,
Dr Erinma Bell,woman,Manchester Town Hall,53.4794,-2.2449,Karen Lyons,Manchester City Council,PSSA,https://pssauk.org/women/,,bust,public,
Jean Armour (Mauchline),woman,"Mauchline, East Ayrshire",55.5167,-4.3833,Ruaraig McIver,Local,PSSA,https://pssauk.org/women/,2002,statue,public,
Jean Armour (Dumfries),woman,"Opposite St Michael's Church, Dumfries",55.069,-3.608,Nautilus Burleighfield,Burns Howff Club,PSSA,https://pssauk.org/women/,2004,statue,public,approx town pin
Dame Louisa Aldrich-Blake,woman,"Tavistock Square, Bloomsbury, London",51.5247,-0.1304,Arthur George Walker,Camden,PSSA,https://pssauk.org/women/,1926,statue,public,
Catherine Booth,woman,"Mile End Road, London",51.5242,-0.0334,George Edward Wade,Various,PSSA,https://pssauk.org/women/,,statue,public,
Noor Inayat Khan,woman,"Gordon Square Gardens, Bloomsbury, London",51.5236,-0.1309,Karen Newman,Camden / trust,PSSA,https://en.wikipedia.org/wiki/Noor_Inayat_Khan,2012,bust,public,
Amy Johnson (Herne Bay),woman,"Herne Bay, Kent",51.3731,1.1285,Steven Melton,Local,Art UK,https://en.wikipedia.org/wiki/Amy_Johnson,,statue,public,
Amy Johnson (Hull),woman,"Prospect Street, Hull",53.7446,-0.3352,Harry Ibbetson,Local,Art UK,https://en.wikipedia.org/wiki/Amy_Johnson,,statue,public,
Boudicca and Her Daughters,woman,"Westminster Bridge, London",51.5009,-0.1217,Thomas Thornycroft,GLA,Wikipedia,https://en.wikipedia.org/wiki/Boadicea_and_Her_Daughters,1902,group,public,allegory_or_royal; not PSSA named-non-royal
Sarah Siddons,woman,"Paddington Green, London",51.5194,-0.1757,Léon-Joseph Chavalliaud,Westminster,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Sarah_Siddons,1897,statue,public,
Amy Winehouse,woman,"Camden Market, London",51.5415,-0.1457,Scott Eaton,Camden,Wikipedia,https://en.wikipedia.org/wiki/Statue_of_Amy_Winehouse,2014,statue,public,
Virginia Woolf,woman,"Tavistock Square, Bloomsbury, London",51.5247,-0.1304,Stephen Tomlin / bronze after,Camden,PSSA,https://en.wikipedia.org/wiki/Statue_of_Virginia_Woolf,2004,bust,public,
Ribbons (Leeds),woman_collective,"Playhouse Gardens, Leeds",53.8008,-1.5491,Pippa Hale,Leeds City Council,PSSA,https://ribbons-sculpture-leeds.co.uk/,2022,group,public,collective named women
Mary Barbour,woman,"Govan Cross, Glasgow",55.8625,-4.3144,Andrew Brown,Glasgow City Council,PSSA,https://pssauk.org/women/,2018,statue,public,
Florence Nightingale,woman,"Waterloo Place, London",51.50731,-0.13263,Arthur George Walker,English Heritage / Westminster,English Heritage,"https://en.wikipedia.org/wiki/Statue_of_Florence_Nightingale,_London",1915,statue,public,
Edith Cavell,woman,"St Martin's Place, London",51.509324,-0.127183,George Frampton,Westminster,Wikipedia,https://en.wikipedia.org/wiki/Edith_Cavell_Memorial,1920,statue,public,
Mary Wollstonecraft,woman,"Newington Green, London",51.5525,-0.0855,Maggi Hambling,Hackney / Mary on the Green,Art UK,https://artuk.org/discover/artworks/a-sculpture-for-mary-wollstonecraft-309902,2020,statue,public,figurative form controversial
