SEASON,YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUMBER OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
1997-98,1997,40,179,205,,157,,29,570,46842,192,0.0121686,0.0110148
1997-98,1997,41,199,242,,151,,23,615,48023,191,0.0128064,0.0120007
1997-98,1997,42,228,266,,153,,34,681,54961,219,0.0123906,0.0137876
1997-98,1997,43,188,236,,193,,36,653,57044,213,0.0114473,0.011992
1997-98,1997,44,217,280,,162,,41,700,55506,213,0.0126112,0.0165618
1997-98,1997,45,178,281,,148,,48,655,51062,195,0.0128275,0.0141326
1997-98,1997,46,294,328,,240,,70,932,64463,248,0.0144579,0.019868
1997-98,1997,47,288,456,,293,,63,1100,66749,256,0.0164796,0.0244749
1997-98,1997,48,268,343,,206,,69,886,52890,252,0.0167517,0.0173901
1997-98,1997,49,299,415,,282,,102,1098,67887,253,0.0161739,0.0193919
1997-98,1997,50,346,388,,268,,81,1083,61314,242,0.0176632,0.0228166
1997-98,1997,51,348,362,,235,,59,1004,47719,190,0.0210398,0.0250761
1997-98,1997,52,510,492,,404,,113,1519,48429,251,0.0313655,0.0411352
1997-98,1997,53,579,576,,584,,207,1946,52333,250,0.037185,0.0562372
1997-98,1998,1,639,810,,759,,207,2415,67228,254,0.0359225,0.0437398
1997-98,1998,2,690,1121,,654,,148,2613,70828,255,0.0368922,0.0419434
1997-98,1998,3,856,1440,,679,,151,3126,67898,245,0.0460396,0.0542123
1997-98,1998,4,824,1600,,817,,196,3437,69999,245,0.0491007,0.0566137
1997-98,1998,5,881,1471,,769,,233,3354,69486,239,0.0482687,0.0597802
1997-98,1998,6,699,1101,,671,,146,2617,66322,234,0.039459,0.047358
1997-98,1998,7,457,849,,523,,119,1948,62675,223,0.031081,0.0344581
1997-98,1998,8,313,534,,330,,112,1289,60247,217,0.0213953,0.0247799
1997-98,1998,9,241,308,,214,,64,827,57449,211,0.0143954,0.0165732
1997-98,1998,10,201,305,,183,,59,748,50582,208,0.0147879,0.0196952
1997-98,1998,11,162,249,,123,,51,585,53889,200,0.0108556,0.0158545
1997-98,1998,12,156,196,,93,,41,486,48699,177,0.00997967,0.0180474
1997-98,1998,13,90,144,,92,,32,358,48105,182,0.00744205,0.0104624
1997-98,1998,14,82,152,,93,,41,368,42959,170,0.00856631,0.014004
1997-98,1998,15,64,106,,73,,19,262,42140,156,0.00621737,0.0079687
1997-98,1998,16,82,100,,68,,15,265,39496,155,0.00670954,0.00717097
1997-98,1998,17,58,120,,61,,27,266,38324,148,0.00694082,0.0100238
1997-98,1998,18,39,93,,64,,13,209,35821,136,0.00583457,0.00908403
1997-98,1998,19,79,61,,37,,9,186,32200,131,0.0057764,0.00443014
1997-98,1998,20,54,52,,40,,19,165,27263,120,0.00605216,0.00638986
1997-98,1998,21,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,22,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,23,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,24,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,25,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,26,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,27,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,28,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,29,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,30,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,31,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,32,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,33,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,34,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,35,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,36,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,37,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,38,0,0,0,0,,0,0,0,0,0,0
1997-98,1998,39,0,0,0,0,,0,0,0,0,0,0
1998-99,1998,40,115,210,,139,,26,490,70272,304,0.00697291,0.0157733
1998-99,1998,41,133,262,,174,,36,605,77092,328,0.00784777,0.013088
1998-99,1998,42,217,287,,225,,54,783,86720,350,0.00902906,0.0141744
1998-99,1998,43,278,530,,226,,52,1086,95437,377,0.0113792,0.0118272
1998-99,1998,44,298,414,,262,,60,1034,101821,388,0.0101551,0.0233432
1998-99,1998,45,258,402,,292,,70,1022,102108,400,0.010009,0.0181577
1998-99,1998,46,355,478,,281,,64,1178,103429,372,0.0113895,0.0217975
1998-99,1998,47,291,512,,322,,83,1208,83346,403,0.0144938,0.021124
1998-99,1998,48,319,453,,310,,94,1176,103241,392,0.0113908,0.0204854
1998-99,1998,49,353,461,,303,,85,1202,103600,399,0.0116023,0.0193248
1998-99,1998,50,312,426,,320,,83,1141,97416,396,0.0117127,0.0190468
1998-99,1998,51,335,359,,296,,74,1064,71380,384,0.0149061,0.0255983
1998-99,1998,52,418,377,,466,,162,1423,77216,382,0.0184288,0.0399108
